,Material,Current (A),Voltage(V),Wire feed spped(m/min),Bead width(mm),Bead Height (mm),Bead Penetration(mm),step_over_dist(mm)
0,0.7072072072072072,220.0,20.0,5.0,7.17,2.59,1.536,4.779999999999999
1,0.7072072072072072,220.0,23.0,5.0,8.17,2.68,2.312,5.446666666666666
2,0.7072072072072072,220.0,26.0,5.0,8.35,2.43,2.348,5.566666666666666
3,0.7072072072072072,220.0,29.0,5.0,8.15,2.52,2.164,5.433333333333334
4,0.7072072072072072,220.0,32.0,5.0,7.59,2.81,2.194,5.06
5,0.7072072072072072,240.0,23.0,5.8,8.66,2.93,2.247,5.773333333333333
6,0.7072072072072072,240.0,26.0,5.8,8.11,2.85,2.0,5.406666666666666
7,0.7072072072072072,240.0,29.0,5.8,8.26,2.85,2.623,5.506666666666666
8,0.7072072072072072,240.0,32.0,5.8,8.13,2.82,2.546,5.42
9,0.7072072072072072,240.0,20.0,5.8,7.66,2.8,2.339,5.1066666666666665
10,0.7072072072072072,260.0,26.0,6.6,9.64,3.11,2.981,6.426666666666667
11,0.7072072072072072,260.0,29.0,6.6,8.88,3.06,3.098,5.92
12,0.7072072072072072,260.0,32.0,6.6,8.77,3.33,2.542,5.846666666666666
13,0.7072072072072072,260.0,20.0,6.6,8.84,3.3,2.239,5.893333333333333
14,0.7072072072072072,260.0,23.0,6.6,8.34,2.96,2.843,5.56
15,0.7072072072072072,280.0,29.0,7.4,9.26,3.67,3.322,6.173333333333333
16,0.7072072072072072,280.0,32.0,7.4,9.38,3.38,3.081,6.253333333333334
17,0.7072072072072072,280.0,20.0,7.4,9.18,3.39,2.707,6.119999999999999
18,0.7072072072072072,280.0,23.0,7.4,9.55,2.76,3.173,6.366666666666667
19,0.7072072072072072,280.0,26.0,7.4,8.14,2.95,2.741,5.426666666666667
20,0.7072072072072072,300.0,32.0,8.2,10.85,3.54,3.671,7.2333333333333325
21,0.7072072072072072,300.0,20.0,8.2,9.36,3.03,3.461,6.239999999999999
22,0.7072072072072072,300.0,23.0,8.2,10.41,3.42,2.647,6.9399999999999995
23,0.7072072072072072,300.0,26.0,8.2,9.99,3.15,2.634,6.66
24,0.7072072072072072,300.0,29.0,8.2,11.29,3.95,2.336,7.5266666666666655
25,0.0945945945945946,30.0,200.0,0.075,10.95,1.82,1.28,7.299999999999999
26,0.0945945945945946,30.0,200.0,0.1,9.05,1.33,1.11,6.033333333333333
27,0.0945945945945946,30.0,250.0,0.075,11.85,2.21,1.37,7.8999999999999995
28,0.0945945945945946,30.0,250.0,0.1,9.82,1.72,1.59,6.546666666666667
29,0.0945945945945946,34.0,200.0,0.075,11.86,1.65,1.19,7.906666666666666
30,0.0945945945945946,34.0,200.0,0.1,9.65,1.24,1.28,6.433333333333334
31,0.0945945945945946,34.0,250.0,0.075,12.63,1.89,1.5,8.42
32,0.0945945945945946,34.0,250.0,0.1,10.48,1.6,1.62,6.986666666666666
33,0.0945945945945946,28.0,225.0,0.08,9.88,1.86,1.38,6.586666666666667
34,0.0945945945945946,36.0,225.0,0.08,11.49,1.41,1.21,7.66
35,0.0945945945945946,32.0,180.0,0.08,9.91,1.4,0.98,6.6066666666666665
36,0.0945945945945946,32.0,270.0,0.08,11.19,2.1,1.62,7.459999999999999
37,0.0945945945945946,32.0,225.0,0.04,13.8,2.3,1.47,9.2
38,0.0945945945945946,32.0,225.0,0.12,9.15,1.35,1.66,6.1
39,0.0945945945945946,32.0,225.0,0.08,9.25,1.65,1.11,6.166666666666666
40,0.0945945945945946,32.0,225.0,0.08,9.22,1.61,1.13,6.1466666666666665
41,0.0945945945945946,32.0,225.0,0.08,9.22,1.64,1.09,6.1466666666666665
42,0.0945945945945946,32.0,225.0,0.08,9.18,1.68,1.1,6.119999999999999
43,0.0945945945945946,32.0,225.0,0.08,9.26,1.6,1.12,6.173333333333333
44,0.0945945945945946,32.0,225.0,0.08,9.23,1.61,1.1,6.153333333333333
45,0.0945945945945946,32.0,225.0,0.08,9.18,1.65,1.1,6.119999999999999
46,0.036036036036036036,15.6,130.0,0.6,6.12,1.12,1.77,4.08
47,0.036036036036036036,15.6,135.0,0.588,6.84,1.4,2.0,4.56
48,0.036036036036036036,15.8,140.0,0.57,7.12,1.83,2.41,4.746666666666666
49,0.036036036036036036,16.7,145.0,0.48,7.41,2.3,2.4,4.9399999999999995
50,0.036036036036036036,16.7,150.0,0.462,7.51,1.33,2.68,5.006666666666666
51,0.036036036036036036,16.7,155.0,0.45,8.34,2.38,2.36,5.56
52,0.036036036036036036,17.7,160.0,0.432,8.53,1.7,2.96,5.686666666666666
53,0.036036036036036036,17.7,165.0,0.42,11.5,1.8,2.98,7.666666666666666
54,0.16216216216216217,25.0,150.0,7.0,10.34,1.85,1.78,6.893333333333333
55,0.16216216216216217,25.0,175.0,7.0,10.07,1.94,1.79,6.713333333333333
56,0.16216216216216217,25.0,200.0,7.0,9.73,2.03,1.71,6.486666666666666
57,0.16216216216216217,27.5,150.0,8.0,12.4,2.09,2.55,8.266666666666666
58,0.16216216216216217,27.5,175.0,8.0,13.3,2.62,2.6,8.866666666666667
59,0.16216216216216217,27.5,200.0,8.0,11.11,1.94,2.28,7.406666666666666
60,0.16216216216216217,30.0,150.0,9.0,13.34,1.94,2.81,8.893333333333333
61,0.16216216216216217,30.0,175.0,9.0,13.22,2.38,2.68,8.813333333333333
62,0.16216216216216217,30.0,200.0,9.0,12.67,2.23,2.47,8.446666666666665
63,0.16216216216216217,25.0,150.0,8.0,8.94,1.88,1.85,5.959999999999999
64,0.16216216216216217,25.0,175.0,8.0,8.87,1.72,1.94,5.913333333333332
65,0.16216216216216217,25.0,200.0,8.0,9.56,2.26,2.23,6.373333333333333
66,0.16216216216216217,27.5,150.0,9.0,10.01,1.84,2.59,6.673333333333333
67,0.16216216216216217,27.5,175.0,9.0,9.25,2.07,2.7,6.166666666666666
68,0.16216216216216217,27.5,200.0,9.0,9.68,2.24,2.45,6.453333333333333
69,0.16216216216216217,30.0,150.0,7.0,11.34,1.99,1.77,7.56
70,0.16216216216216217,30.0,175.0,7.0,11.03,2.05,1.78,7.353333333333333
71,0.16216216216216217,30.0,200.0,7.0,12.02,1.87,2.62,8.013333333333332
72,0.16216216216216217,25.0,150.0,9.0,7.73,2.25,2.71,5.153333333333333
73,0.16216216216216217,25.0,175.0,9.0,10.11,2.72,2.88,6.739999999999999
74,0.16216216216216217,25.0,200.0,9.0,9.99,2.64,2.77,6.66
75,0.16216216216216217,27.5,150.0,7.0,7.87,1.93,2.33,5.246666666666666
76,0.16216216216216217,27.5,175.0,7.0,10.0,2.29,2.69,6.666666666666666
77,0.16216216216216217,27.5,200.0,7.0,7.72,1.87,2.52,5.1466666666666665
78,0.16216216216216217,30.0,150.0,8.0,8.66,1.8,2.66,5.773333333333333
79,0.16216216216216217,30.0,175.0,8.0,10.91,2.23,2.79,7.273333333333333
80,0.16216216216216217,30.0,200.0,8.0,9.25,2.09,2.46,6.166666666666666
81,0.7072072072072072,130.0,18.0,2.4,5.026,2.664,1.68,3.3506666666666662
82,0.7072072072072072,190.0,18.0,2.4,6.226,3.218,2.08,4.150666666666666
83,0.7072072072072072,130.0,24.0,2.4,6.542,2.642,2.18,4.361333333333333
84,0.7072072072072072,190.0,24.0,2.4,7.6,3.168,2.53,5.066666666666666
85,0.7072072072072072,130.0,18.0,4.2,3.556,2.112,1.19,2.3706666666666667
86,0.7072072072072072,190.0,18.0,4.2,4.486,1.88,1.5,2.9906666666666664
87,0.7072072072072072,130.0,24.0,4.2,4.464,2.606,1.49,2.976
88,0.7072072072072072,190.0,24.0,4.2,6.28,2.368,2.09,4.1866666666666665
89,0.7072072072072072,109.6,21.0,3.3,4.002,2.032,1.33,2.6679999999999997
90,0.7072072072072072,210.4,21.0,3.3,6.354,2.812,2.12,4.236
91,0.7072072072072072,160.0,15.96,3.3,4.616,2.708,1.54,3.077333333333333
92,0.7072072072072072,160.0,26.04,3.3,7.696,2.054,2.57,5.1306666666666665
93,0.7072072072072072,160.0,21.0,1.788,7.046,3.326,2.35,4.697333333333333
94,0.7072072072072072,160.0,21.0,4.812,5.22,1.92,1.74,3.4799999999999995
95,0.7072072072072072,160.0,21.0,3.3,5.44,2.638,1.81,3.626666666666667
96,0.7072072072072072,160.0,21.0,3.3,5.312,2.604,1.77,3.541333333333333
97,0.7072072072072072,160.0,21.0,3.3,5.03,2.64,1.68,3.3533333333333335
98,0.7072072072072072,160.0,21.0,3.3,5.334,2.528,1.78,3.5559999999999996
99,0.7072072072072072,160.0,21.0,3.3,5.668,2.576,1.89,3.7786666666666666
100,0.7072072072072072,160.0,21.0,3.3,5.664,2.568,1.89,3.776
101,0.7072072072072072,210.0,21.0,2.5,8.2,3.1,2.6,5.466666666666666
102,0.7072072072072072,210.0,21.0,4.5,5.5,2.2,1.9,3.6666666666666665
103,0.7072072072072072,210.0,25.0,2.5,10.3,2.2,1.75,6.866666666666667
104,0.7072072072072072,210.0,25.0,4.5,5.9,2.3,1.5,3.9333333333333336
105,0.7072072072072072,270.0,21.0,2.5,8.8,3.3,2.8,5.866666666666667
106,0.7072072072072072,270.0,21.0,4.5,7.6,2.8,2.1,5.066666666666666
107,0.7072072072072072,270.0,25.0,2.5,10.9,3.1,2.6,7.266666666666667
108,0.7072072072072072,270.0,25.0,4.5,9.4,2.5,1.6,6.266666666666667
109,0.7072072072072072,210.0,21.0,2.5,5.8,2.9,2.4,3.8666666666666663
110,0.7072072072072072,210.0,21.0,4.5,5.9,1.9,1.6,3.9333333333333336
111,0.7072072072072072,210.0,25.0,2.5,10.7,2.5,1.4,7.133333333333333
112,0.7072072072072072,210.0,25.0,4.5,6.5,2.0,1.6,4.333333333333333
113,0.7072072072072072,270.0,21.0,2.5,9.2,4.2,2.1,6.133333333333333
114,0.7072072072072072,270.0,21.0,4.5,6.0,2.8,1.9,4.0
115,0.7072072072072072,270.0,25.0,2.5,9.4,3.6,3.1,6.266666666666667
116,0.7072072072072072,270.0,25.0,4.5,6.9,3.9,2.8,4.6
117,0.7072072072072072,240.0,23.0,1.5,12.8,3.3,3.0,8.533333333333333
118,0.7072072072072072,240.0,23.0,5.5,6.1,1.6,1.3,4.066666666666666
119,0.7072072072072072,240.0,19.0,3.5,6.6,3.2,1.8,4.3999999999999995
120,0.7072072072072072,240.0,27.0,3.5,9.3,2.5,2.1,6.2
121,0.7072072072072072,180.0,23.0,3.5,6.7,1.6,1.3,4.466666666666667
122,0.7072072072072072,300.0,23.0,3.5,8.4,3.7,2.1,5.6
123,0.7072072072072072,240.0,23.0,3.5,7.3,3.1,1.9,4.866666666666666
124,0.7072072072072072,240.0,23.0,3.5,7.1,2.7,2.1,4.7333333333333325
125,0.7072072072072072,240.0,23.0,3.5,7.0,2.7,2.1,4.666666666666666
126,0.7072072072072072,240.0,23.0,3.5,6.8,2.5,1.9,4.533333333333333
127,0.7072072072072072,240.0,23.0,3.5,7.0,2.8,2.1,4.666666666666666
128,0.7072072072072072,240.0,23.0,3.5,7.4,2.5,2.5,4.933333333333334
129,0.7072072072072072,240.0,23.0,3.5,7.8,2.4,2.1,5.199999999999999
130,0.7072072072072072,240.0,23.0,3.5,7.5,2.6,2.4,5.0
131,0.7072072072072072,240.0,23.0,3.5,6.8,3.0,2.2,4.533333333333333
132,0.7072072072072072,240.0,23.0,3.5,7.1,2.9,2.4,4.7333333333333325
133,0.16216216216216217,340.0,24.0,2.124,12.39,2.18,4.88,8.26
134,0.16216216216216217,365.0,24.0,2.124,13.93,2.24,5.36,9.286666666666665
135,0.16216216216216217,390.0,24.0,2.124,14.12,2.4,5.72,9.413333333333332
136,0.16216216216216217,365.0,22.0,2.124,12.23,2.35,5.45,8.153333333333332
137,0.16216216216216217,365.0,24.0,2.124,13.93,2.24,5.36,9.286666666666665
138,0.16216216216216217,365.0,26.0,2.124,15.62,2.07,5.28,10.413333333333332
139,0.16216216216216217,365.0,24.0,2.04,14.03,2.29,5.54,9.353333333333332
140,0.16216216216216217,365.0,24.0,2.124,13.93,2.24,5.36,9.286666666666665
141,0.16216216216216217,365.0,24.0,2.208,13.21,2.21,5.1,8.806666666666667
142,0.7072072072072072,60.0,3.6,3.5,9.6,1.0,1.4,6.3999999999999995
143,0.7072072072072072,90.0,2.4,3.5,10.9,1.5,1.3,7.266666666666667
144,0.7072072072072072,60.0,3.6,6.0,9.3,2.0,1.3,6.2
145,0.7072072072072072,60.0,3.6,6.0,9.0,0.8,1.5,6.0
146,0.7072072072072072,90.0,2.4,6.0,8.1,1.1,1.6,5.3999999999999995
147,0.7072072072072072,90.0,2.4,3.5,8.0,1.8,1.5,5.333333333333333
148,0.7072072072072072,90.0,2.4,3.5,9.3,1.0,1.4,6.2
149,0.7072072072072072,60.0,3.6,6.0,11.3,1.5,1.3,7.533333333333333
150,0.7072072072072072,60.0,3.6,3.5,9.0,2.0,1.4,6.0
151,0.7072072072072072,90.0,2.4,6.0,7.8,1.0,1.7,5.199999999999999
152,0.7072072072072072,60.0,3.6,6.0,10.2,1.3,2.5,6.799999999999999
153,0.7072072072072072,90.0,2.4,6.0,7.7,1.4,1.9,5.133333333333333
154,0.7072072072072072,60.0,3.6,6.0,7.4,1.2,2.2,4.933333333333334
155,0.7072072072072072,90.0,2.4,6.0,8.9,1.7,2.2,5.933333333333334
156,0.7072072072072072,60.0,3.6,3.5,11.3,1.6,1.7,7.533333333333333
157,0.7072072072072072,90.0,2.4,6.0,8.5,1.0,2.2,5.666666666666666
158,0.7072072072072072,60.0,3.6,3.5,8.5,1.3,2.3,5.666666666666666
159,0.7072072072072072,90.0,2.4,3.5,9.7,1.6,1.8,6.466666666666666
160,0.7072072072072072,60.0,3.6,3.5,9.4,1.4,2.2,6.266666666666667
161,0.7072072072072072,90.0,2.4,3.5,10.9,1.3,1.6,7.266666666666667
162,0.7072072072072072,60.0,3.6,3.5,7.4,1.8,2.0,4.933333333333334
163,0.7072072072072072,90.0,2.4,6.0,9.4,1.2,2.6,6.266666666666667
164,0.7072072072072072,60.0,3.6,3.5,8.5,0.9,2.2,5.666666666666666
165,0.7072072072072072,60.0,3.6,6.0,10.1,1.6,2.1,6.7333333333333325
166,0.7072072072072072,60.0,3.6,3.5,10.0,1.4,2.4,6.666666666666666
167,0.7072072072072072,90.0,2.4,3.5,11.0,1.5,2.3,7.333333333333333
168,0.7072072072072072,60.0,3.6,6.0,10.6,2.0,2.3,7.066666666666666
169,0.7072072072072072,90.0,2.4,3.5,10.2,0.8,2.4,6.799999999999999
170,0.7072072072072072,90.0,2.4,3.5,8.5,1.1,2.6,5.666666666666666
171,0.7072072072072072,60.0,3.6,6.0,9.7,1.8,2.4,6.466666666666666
172,0.7072072072072072,90.0,2.4,6.0,9.9,1.0,2.9,6.6
173,0.7072072072072072,90.0,2.4,6.0,8.9,0.6,2.6,5.933333333333334
174,0.7072072072072072,214.99,30.83,2.0,12.3,2.3,1.5,8.2
175,0.7072072072072072,212.31,30.74,2.0,13.3,2.0,2.1,8.866666666666667
176,0.7072072072072072,214.38,30.99,2.0,12.1,2.0,1.3,8.066666666666666
177,0.7072072072072072,201.72,30.94,2.0,12.6,2.4,1.8,8.399999999999999
178,0.7072072072072072,226.9,31.04,2.0,12.5,2.1,1.7,8.333333333333332
179,0.7072072072072072,216.23,30.94,2.0,12.2,2.2,1.8,8.133333333333333
180,0.7072072072072072,225.89,30.33,2.0,11.7,2.0,1.8,7.799999999999999
181,0.7072072072072072,211.52,30.99,2.0,12.7,2.2,1.6,8.466666666666665
182,0.7072072072072072,222.55,30.63,2.0,13.9,2.1,2.2,9.266666666666666
183,0.7072072072072072,246.54,31.12,2.0,12.9,2.3,2.0,8.6
184,0.7072072072072072,209.37,30.91,2.0,12.0,2.2,1.9,8.0
185,0.7072072072072072,218.31,31.22,2.0,13.7,2.0,1.7,9.133333333333333
186,0.7072072072072072,221.94,31.06,2.0,11.2,2.1,1.6,7.466666666666666
187,0.7072072072072072,221.29,31.17,2.0,12.7,2.0,1.4,8.466666666666665
188,0.7072072072072072,198.19,30.99,2.0,11.7,2.1,1.3,7.799999999999999
189,0.7072072072072072,199.51,30.99,2.0,12.8,2.1,1.5,8.533333333333333
190,0.7072072072072072,275.0,24.0,10.75,17.41,2.9,3.35,11.606666666666666
191,0.7072072072072072,275.0,26.0,10.75,15.03,2.51,3.38,10.02
192,0.7072072072072072,300.0,24.0,10.75,17.5,2.92,4.62,11.666666666666666
193,0.7072072072072072,300.0,26.0,10.75,14.33,2.39,4.18,9.553333333333333
194,0.7072072072072072,275.0,24.0,4.75,17.2,2.87,4.27,11.466666666666665
195,0.7072072072072072,275.0,26.0,4.75,15.4,2.57,2.79,10.266666666666666
196,0.7072072072072072,300.0,24.0,4.75,14.18,2.36,2.54,9.453333333333333
197,0.7072072072072072,300.0,26.0,4.75,14.1,2.35,3.45,9.399999999999999
198,0.7072072072072072,275.0,24.0,10.75,14.7,2.45,4.32,9.799999999999999
199,0.7072072072072072,275.0,26.0,10.75,16.86,2.81,4.95,11.239999999999998
200,0.7072072072072072,300.0,24.0,10.75,14.22,2.37,2.72,9.48
201,0.7072072072072072,300.0,26.0,10.75,11.7,1.95,3.02,7.799999999999999
202,0.7072072072072072,275.0,24.0,4.75,14.8,2.47,4.92,9.866666666666667
203,0.7072072072072072,275.0,26.0,4.75,14.32,2.39,4.01,9.546666666666667
204,0.7072072072072072,300.0,24.0,4.75,14.44,2.41,4.55,9.626666666666665
205,0.7072072072072072,300.0,26.0,4.75,14.32,2.39,4.42,9.546666666666667
206,0.7072072072072072,300.0,23.0,4.5,14.58,2.43,4.32,9.719999999999999
207,0.7072072072072072,300.0,27.0,4.5,14.35,2.39,4.34,9.566666666666666
208,0.7072072072072072,250.0,25.0,4.5,13.85,2.31,4.31,9.233333333333333
209,0.7072072072072072,325.0,25.0,4.5,14.02,2.34,4.12,9.346666666666666
210,0.7072072072072072,300.0,25.0,4.5,14.28,2.38,4.54,9.52
211,0.7072072072072072,300.0,25.0,4.5,13.5,2.25,4.47,9.0
212,0.7072072072072072,300.0,25.0,4.0,13.47,2.25,3.42,8.98
213,0.7072072072072072,300.0,25.0,5.0,13.84,2.31,3.38,9.226666666666667
214,0.7072072072072072,300.0,25.0,4.5,16.83,2.81,4.12,11.219999999999999
215,0.7072072072072072,300.0,25.0,4.5,12.54,2.09,4.04,8.36
216,0.7072072072072072,300.0,25.0,4.5,16.02,2.67,5.57,10.68
217,0.7072072072072072,300.0,25.0,4.5,13.73,2.29,3.66,9.153333333333332
218,0.7072072072072072,300.0,25.0,4.5,13.83,2.31,3.72,9.219999999999999
219,0.7072072072072072,300.0,25.0,4.5,12.92,2.15,3.82,8.613333333333333
220,0.7072072072072072,300.0,25.0,4.5,13.03,2.17,4.42,8.686666666666666
221,0.7072072072072072,300.0,25.0,4.5,14.84,2.47,4.57,9.893333333333333
